فارسی,آباد,تندرست و مرفه ، آراسته,boy,ebād
فارسی,آبان,نام ماه هشتم از سال شمسی، نام فرشته نگهبان آب، نام روز دهم از هر ماه شمسی در ایران قدیم,boy,ābān
فارسی,آبان دخت,دختری که در آبان به دنیا آمده، دختر آبان، نام همسر داریوش سوم پادشاه هخامنشی,girl,ābān doxt
فارسی,آباندخت,دختر آبان ، دختر متولد شده در ماه آبان، همسر دارا پادشاه پیشدادی,girl,ābān doxt
فارسی,آبتاب,دختری با چهره زیبا و درخشان، تابان,girl,ābtāb
اوستایی-پهلوی,آبتین,روح کامل-انسان نیکو کار - از شخصیتهای شاهنامه، نام پدر فریدون پادشاه پیشدادی,boy,ābtin
فارسی,آبگین,شیشه، آینه,boygirl,ābgin
فارسی,آبگینه,شیشه، آینه، ظرف شیشه ای یا بلورین به ویژه جام شراب,girl,ābgine
فارسی,آبنوس,درختی که چوب آن سیاه رنگ است و میوه ای بسیار شیرین و به شکل انگور دارد,girl,ābnus
فارسی,آپام,نام همسر داریوش اول پادشاه هخامنشی,girl,āpām
فارسی,آپامه,نام دختر سپیتامن یکی از سرداران ایرانی و همسر سلوکوس,girl,āpāme
ترکی,آتا,پدربزرگ,boy,ātā
ترکی-فارسی,آتاناز,دختر نازنین بابا ،,girl,ātā nāz
فارسی,آتبین,آبتین ،روح کامل و نیکو کار - ‌ از شخصیتهای شاهنامه، نام پدر فریدون پادشاه پیشدادی,boy,ātbin
فارسی,آترا,آذر- آتش - نام یکی از ماههای پاییز,girl,ātrā
فارسی,آتریسا,آذرگون مانند آتش - دختری با چهره ای زیبا و برافروخته مرکب از آتری(تغییر یافته آذر-آتر-آتری) + پسوند مشابهت,girl,ātrisā
فارسی,آترین,آذرین مانند آتش - زیبا و پر انرژی,girl,ātarin
فارسی,آتش,آنچه از سوختن مواد به وجود می آید و با گرما، شعله، و نور همراه است، سرخی و برافروختگی,boygirl,ātaš
فارسی,آتشه,برق ، آذرخش,girl,ātaše
فرانسه,آتنا,در اساطیر یونان، خدای اندیشه، هنر، دانش، و صنعت,girl,ātenā
اوستایی-پهلوی,آتور,آذر،آتش,girl,ātur
فارسی,آتیلا,نام پادشاه قبیله هون که امپراطوری روم شرقی را شکست داد٠,boy,ātilā
اوستایی-پهلوی,آتین,در زبان زند و پازند جدید ، نو ، بوجود آمده,boy,ātin
عربی,آتیه,آینده,girl,ātiye
فارسی,آدرینا,آتشین ، سرخ رو ، دختر زیبا رو ، بانوی آتشین,girl,ādarinā
فارسی,آدنا,نام روستایی در نزدیکی چالوس,girl,adnā
عربی,آدی,امین تر ، امانت دار تر,boy,oday
